generator,mean,std,min,max
random,1.4890775186774252e+28,7.845952384406264e+28,1.0088372734608009e+20,4.301867045717642e+29
numpy,6.98260203368524e+26,1.0329041969363237e+27,9.384268591761462e+19,3.0531767457422894e+27
xoshiro,3.620579667727256e+31,1.982448571231975e+32,2.4870601873118416e+20,1.0858431954365261e+33
sobol,5.234765231701767e+27,1.3673093043844815e+28,9.148411659077217e+20,5.753509506414055e+28
halton,1.0076013282244853e+28,4.061014031825962e+28,1.5194669622130495e+20,2.1904083993138114e+29
