generator,mean,std,min,max
random,3319.324,210.483,2701.68,3606.01
numpy,3279.398,201.933,2775.0,3608.82
xoshiro,3272.863,206.181,2755.42,3685.0
sobol,3347.094,250.573,2727.28,3823.66
halton,3376.101,211.44,2980.25,3888.74
