generator,mean,std,min,max
random,918926.251,989610.338,4993.74,3119656.2
numpy,1241101.632,1441376.757,9878.07,5719909.5
xoshiro,650739.539,846150.718,8571.11,2959784.9
sobol,656719.406,594578.672,5783.06,1928559.45
halton,1105130.619,1104711.39,26614.2,4669555.88
