generator,mean,std,min,max
random,1674.33,285.721,1302.02,2322.15
numpy,1719.201,346.097,1363.89,3206.63
xoshiro,1644.434,248.424,1322.62,2340.58
sobol,1589.487,237.351,1343.46,2465.32
halton,1671.998,206.712,1313.2,2071.21
