,halton,numpy,random,sobol,xoshiro
halton,1.0,0.319,0.012,0.187,0.001
numpy,0.319,1.0,1.0,1.0,0.955
random,0.012,1.0,1.0,1.0,1.0
sobol,0.187,1.0,1.0,1.0,1.0
xoshiro,0.001,0.955,1.0,1.0,1.0
