generator,mean,std,min,max
random,1209.145,41.977,1140.48,1279.22
numpy,1194.879,38.973,1102.03,1282.36
xoshiro,1212.311,47.316,1108.07,1315.47
sobol,1198.97,36.728,1134.18,1288.56
halton,1174.637,30.235,1109.24,1237.86
