generator,mean,std,min,max
random,1.4304690538066504e+49,7.834425876571893e+49,5.436687649628583e+37,4.291102281394e+50
numpy,2.24996982343235e+45,7.450331244963032e+45,1.0210676120145106e+37,3.932988940245794e+46
xoshiro,9.464054640488228e+45,3.434077167900468e+46,1.6868665171127046e+37,1.807359896563094e+47
sobol,1.6038796836613647e+46,5.096375636179194e+46,6.305804241321061e+37,2.427109521745877e+47
halton,3.253833098126091e+46,1.4194155198562589e+47,2.5023819702018564e+37,7.722991954394005e+47
