generator,mean,std,min,max
random,4992.149,455.34,4219.57,5898.74
numpy,4851.489,382.166,3915.09,5777.25
xoshiro,5071.316,476.699,4187.23,6208.89
sobol,5110.356,462.963,4386.95,6394.85
halton,4869.835,476.21,4027.18,5975.66
