generator,mean,std,min,max
random,926.453,51.068,824.67,996.72
numpy,925.09,55.496,826.66,1032.17
xoshiro,915.837,56.244,792.63,1075.06
sobol,936.383,45.235,844.62,1044.54
halton,926.029,45.303,816.25,1018.56
