generator,mean,std,min,max
random,2997.092,96.194,2834.26,3278.69
numpy,2995.347,94.011,2838.85,3178.08
xoshiro,2978.381,80.194,2803.63,3179.35
sobol,2988.501,84.915,2848.8,3237.22
halton,3020.877,82.138,2891.07,3174.99
