generator,mean,std,min,max
random,737.118,43.277,673.41,836.59
numpy,729.648,54.049,655.64,889.28
xoshiro,723.561,60.373,620.65,865.49
sobol,736.857,47.486,626.66,820.65
halton,713.045,52.61,597.83,821.76
