generator,mean,std,min,max
random,9746.232,1130.241,7918.35,11717.59
numpy,10297.629,1151.598,8238.27,12215.15
xoshiro,10515.272,1112.53,8222.01,13219.12
sobol,10017.716,1115.88,8295.05,12085.61
halton,10098.129,820.639,8359.16,11365.27
