generator,mean,std,min,max
random,2611.135,287.424,1927.69,3138.14
numpy,2478.498,268.072,1830.93,2951.59
xoshiro,2590.807,277.839,1931.18,3057.81
sobol,2682.017,227.419,2287.8,3283.15
halton,2695.841,279.983,2054.69,3142.88
