generator,mean,std,min,max
random,21497.684,9656.539,7284.12,44327.68
numpy,22189.282,8668.929,9895.36,44101.05
xoshiro,23938.238,8975.146,6542.09,42807.39
sobol,22697.742,10000.019,5667.61,51354.79
halton,20907.632,7558.712,8807.25,36343.18
