generator,mean,std,min,max
random,7439.949,1617.431,5219.6,12124.87
numpy,6643.299,1015.151,4964.84,9239.6
xoshiro,7169.697,1751.909,5367.37,12414.79
sobol,7071.53,1696.611,5671.51,14302.25
halton,7119.025,2804.016,5018.59,20781.25
