generator,mean,std,min,max
random,3265.241,80.932,3126.22,3435.78
numpy,3227.235,108.819,3035.23,3579.13
xoshiro,3267.527,93.227,3116.74,3462.21
sobol,3245.844,90.685,3082.8,3468.41
halton,3242.166,102.255,3070.27,3472.49
