generator,mean,std,min,max
random,12846003.174,10326003.186,92524.07,49630162.5
numpy,11618717.3,9784213.438,155968.46,35814415.85
xoshiro,13263045.642,10657294.863,266886.46,38783572.14
sobol,13135992.165,10861693.398,1148030.55,48595932.26
halton,14305187.544,19069081.778,907923.13,92465471.98
