generator,mean,std,min,max
random,2767.939,238.041,2339.31,3218.12
numpy,2805.026,310.516,2283.01,3327.99
xoshiro,2789.87,261.438,2356.49,3366.01
sobol,2796.01,275.401,2169.12,3339.87
halton,2754.869,224.247,2399.92,3218.77
