generator,mean,std,min,max
random,7834.058,1389.407,3636.14,10149.07
numpy,7788.526,1424.849,2853.11,9961.49
xoshiro,8005.824,859.36,6663.75,10288.76
sobol,7779.434,1116.777,5912.5,10196.28
halton,7719.894,1087.855,5985.47,9793.35
