generator,mean,std,min,max
random,3862.41,974.377,2851.91,7926.73
numpy,3767.38,1217.996,2681.63,8861.32
xoshiro,3457.639,382.028,2531.68,4325.71
sobol,3489.626,332.688,2959.79,4223.05
halton,3422.014,397.065,2867.96,4890.23
